titulo,precio,condicion,envio,opiniones,ventas_producto,vendedor_url
"Macbook Air 13'' Procesador Apple M1 (8 Gb Ram, 256 Gb Ssd) Color Gris espacial - Distribuidor autorizado",4.899,Nuevo | +500 vendidos,Envío gratis,5.0,+5mil,https://perfil.mercadolibre.com.pe/TIENDA-APPLE-AMAZE
"Macbook Air 13'' Procesador Apple M1 (8 Gb Ram, 256 Gb Ssd)",4.899,Nuevo | +500 vendidos,Envío gratis,4.8,+5mil,https://perfil.mercadolibre.com.pe/TIENDA-APPLE-AMAZE
"Apple Macbook Air 13,6 Chip M2 256gb",4.839,Nuevo | +50 vendidos,Envío gratis,4.9,+1000,https://perfil.mercadolibre.com.pe/CASESWORLD.STORE?brandId=971
"Laptop Lenovo V14 G2 Itl 14 Hd I5-1135g7 16gb, Ssd 500gb+1tb",1.829,Nuevo | +100 vendidos,Envío gratis,4.8,+1000,https://perfil.mercadolibre.com.pe/PC-YA+EMPRESARIAL?brandId=641
Msi Raider Ge76 Core-i9 12900h 16gb 1tb Ssd Rtx3060 6gb W11,7.399,Nuevo | 3 vendidos,Envío gratis,,+100,https://perfil.mercadolibre.com.pe/FB.MOVILSTORE+PERU
Laptop Asus Tuf Core I7 12650h 16gb Ddr5 1tb Ssd Rtx 3050ti,6.199,Nuevo | +25 vendidos,Envío gratis,5.0,+100,https://perfil.mercadolibre.com.pe/FB.MOVILSTORE+PERU
Asus Rog G15 R7-4800h 16gb 512sd Rtx3050 4gb Moch+ Mous+ Web,5.699,Nuevo | +5 vendidos,Envío gratis,4.0,+100,https://perfil.mercadolibre.com.pe/FB.MOVILSTORE+PERU
Asus Tuf F15 Core I5 11400h 32gb 1tb Ssd Rtx3050 15.6' 144hz,4.289,Nuevo | +5 vendidos,Envío gratis,5.0,+100,https://perfil.mercadolibre.com.pe/LAPTOPSHOP+OFICIAL?brandId=866
"Macbook Air 13'' Procesador Apple M1 (8 Gb Ram, 256 Gb Ssd) Color Oro",3.999,Nuevo | +100 vendidos,Envío gratis,5.0,+1000,https://perfil.mercadolibre.com.pe/CASESWORLD.STORE?brandId=971
Msi Raider Ge76 17.3' Core I9-12900h 1tbssd 32gb Ram Rtx3060,8.099,Nuevo | +5 vendidos,Envío gratis,,+100,https://perfil.mercadolibre.com.pe/LAPTOPSHOP+OFICIAL?brandId=866
